PLAYER_ID,PLAYER_NAME,GP,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,AST_TOV,STL_TOV,EFG_PCT,TS_PCT,GP_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,STL_RANK,BLK_RANK,TOV_RANK,PF_RANK,PTS_RANK,AST_TOV_RANK,STL_TOV_RANK,EFG_PCT1,TS_PCT1
2544,LeBron James,1552,58688.0,15408,30420,0.507,2543.0,7275.0,0.35,8606,11686,0.736,1789.0,9884.0,11673.0,11515,2330.0,1146.0,5444.0,2768,41965,2.115,0.428,0.548,0.59,3,1,2,1,504,7,5,838,2,3,2164,148,7,25,4,6,72,1,125,1,617,2436,412,317
76003,Kareem Abdul-Jabbar,1560,57446.0,15837,28307,0.559,1.0,18.0,0.056,6712,9304,0.721,2975.0,9394.0,17440.0,5660,1160.0,3189.0,2527.0,4657,38387,1.156,0.302,0.559,0.592,2,2,1,2,186,2498,2213,2737,13,9,2390,32,10,3,50,112,3,59,1,2,1987,3084,318,295
252,Karl Malone,1476,54852.0,13528,26210,0.516,85.0,310.0,0.274,9787,13188,0.742,3562.0,11406.0,14968.0,5248,2085.0,1145.0,4524.0,4578,36928,1.16,0.461,0.518,0.577,7,3,3,3,409,1087,1035,1816,1,1,2061,14,2,7,63,12,74,3,2,3,1981,2232,833,446
977,Kobe Bryant,1346,48643.0,11719,26200,0.447,1827.0,5546.0,0.329,8378,10011,0.837,1499.0,5548.0,7047.0,6306,1944.0,640.0,4010.0,3353,33643,1.573,0.485,0.482,0.55,15,8,6,4,1753,29,18,1205,4,6,513,225,62,116,36,16,211,6,42,4,1276,2090,1735,929
893,Michael Jordan,1072,41010.0,12192,24537,0.497,581.0,1778.0,0.327,7327,8772,0.835,1668.0,5004.0,6672.0,5633,2514.0,893.0,2924.0,2783,32292,1.926,0.86,0.509,0.569,108,31,5,5,685,381,343,1244,7,12,528,177,93,141,52,4,126,33,120,5,815,537,1025,563
1717,Dirk Nowitzki,1522,51367.0,11169,23734,0.471,1982.0,5210.0,0.38,7240,8239,0.879,1468.0,10021.0,11489.0,3651,1210.0,1281.0,2494.0,3601,31560,1.464,0.485,0.512,0.577,5,4,8,8,1123,20,21,355,9,18,232,235,6,27,159,95,55,64,25,6,1445,2090,949,445
76375,Wilt Chamberlain,1045,47859.0,12681,23497,0.54,,,,6057,11862,0.511,,,23924.0,4643,,,,2075,31419,,,0.54,0.547,124,9,4,9,264,3711,3711,3711,21,2,4307,4015,4015,1,85,4015,4015,3813,375,7,3813,3813,501,979
201142,Kevin Durant,1120,41150.0,10519,20953,0.502,2184.0,5607.0,0.39,7285,8260,0.882,739.0,7075.0,7814.0,4903,1171.0,1271.0,3548.0,2133,30507,1.382,0.33,0.554,0.62,76,29,12,17,556,14,16,254,8,17,221,595,29,83,74,106,57,11,356,8,1581,2980,363,148
406,Shaquille O'Neal,1207,41917.0,11330,19457,0.582,1.0,22.0,0.045,5935,11252,0.527,4209.0,8890.0,13099.0,3026,739.0,2732.0,3310.0,4146,28596,0.914,0.223,0.582,0.586,47,28,7,23,138,2498,2136,2749,25,4,4271,6,11,15,234,353,8,20,10,9,2535,3342,202,354
2546,Carmelo Anthony,1260,43513.0,10119,22643,0.447,1731.0,4873.0,0.355,6320,7764,0.814,1983.0,5825.0,7808.0,3422,1223.0,644.0,3052.0,3543,28289,1.121,0.401,0.485,0.543,33,24,16,10,1768,34,28,744,18,25,778,114,54,84,187,92,207,30,28,10,2046,2577,1642,1090
